Unnamed: 0,project_id,project_name,revision,industry_segment,system_category,quote_date,start_date,dataset_role,include_in_training,stations_count,robot_count,fixture_sets,part_types,servo_axes,pneumatic_devices,safety_doors,weldment_perimeter_ft,fence_length_ft,conveyor_length_ft,product_familiarity_score,product_rigidity,is_product_deformable,is_bulk_product,bulk_rigidity_score,has_tricky_packaging,process_uncertainty_score,changeover_time_min,safety_devices_count,custom_pct,duplicate,has_controls,has_robotics,automation_level,Retrofit,complexity_score_1_5,drawing_count_est,manual_count,validation_reports_count,commissioning_hours,training_hours,support_weeks,plc_family,hmi_family,hmi_size_in,vision_systems_count,vision_type,safety_plc_flag,panel_count,drive_count,i_o_points_est,stations_robot_index,mech_complexity_index,controls_complexity_index,physical_scale_index,log_quoted_materials_cost,total_me_quoted_hours,total_me_original_estimate_hours,total_me_actual_hours,quoted_me10_hours,me10_original_estimate_hours,me10_actual_hours,me10_overrun_pct,quoted_me15_hours,me15_original_estimate_hours,me15_actual_hours,me15_overrun_pct,quoted_ee20_hours,ee20_original_estimate_hours,ee20_actual_hours,ee20_overrun_pct,quoted_pm200_hours,pm200_original_estimate_hours,pm200_actual_hours,pm200_overrun_pct,quoted_doc190_hours,doc190_original_estimate_hours,doc190_actual_hours,doc190_overrun_pct,quoted_bld100_hours,bld100_original_estimate_hours,bld100_actual_hours,bld100_overrun_pct,quoted_shp150_hours,shp150_original_estimate_hours,shp150_actual_hours,shp150_overrun_pct,quoted_rb30_hours,rb30_original_estimate_hours,rb30_actual_hours,rb30_overrun_pct,quoted_cp50_hours,cp50_original_estimate_hours,cp50_actual_hours,cp50_overrun_pct,quoted_me230_hours,me230_original_estimate_hours,me230_actual_hours,me230_overrun_pct,quoted_inst160_hours,inst160_original_estimate_hours,inst160_actual_hours,inst160_overrun_pct,quoted_trv180_hours,trv180_original_estimate_hours,trv180_actual_hours,trv180_overrun_pct,quoted_materials_cost
135,424-25-01,Purina Machine Tending,C,Pharmaceutical / Medical Device,Machine Tending,2025-05-12T00:00:00.000,2025-08-19T00:00:00.000,actuals,yes,1,0,1,5,3,3,1,23.904587,54.902367,0.0,0.601,0.893,0,0,0.0,0,0.728,30,2,0.212779,0,1,1,Robotic,0,3,92,9,2,82,40,0.5,AB GuardLogix,AB PanelView Plus,15.0,0,,0,2,4,202,1,8,2.6354,40.3753,12.212467,532.37,460.0,637.45,337.04,324.66,768.76,1.367893,76.25,93.98,177.4,0.887636,215.47,268.31,469.91,0.75137,139.97,167.64,355.73,1.121988,73.49,63.51,122.93,0.935601,608.41,697.22,1761.32,1.526204,32.18,37.86,52.22,0.379292,193.53,201.06,427.32,1.125336,192.23,218.94,451.07,1.060245,135.02,155.83,274.71,0.762883,199.37,213,507.93,1.389584,68.63,87.64,161.69,0.844934,201280
136,469-23-01,Whirlpool Full Line Automation,B,Precision Machining,Engineered Manufacturing Systems,2023-04-01T00:00:00.000,2023-09-01T00:00:00.000,actuals,yes,7,3,3,1,1,9,3,21.785664,0.0,0.0,0.347,0.746,0,1,0.778,0,0.436,0,2,0.741333,1,1,1,Robotic,0,4,309,8,2,288,8,1.5,AB GuardLogix,AB PanelView Plus,12.0,0,,0,6,5,193,16,17,4.5255,21.7857,13.961315,1221.54,1220.88,2480.52,516.95,656.91,868.67,0.322358,169.49,216.23,265.34,0.227119,480.11,590.11,1159.52,0.964922,437.7,534.61,690.51,0.291614,189.43,175.35,335.52,0.91343,1691.15,2073.48,3411.24,0.645176,80.06,100.17,167.33,0.67046,695.26,841.58,1453.08,0.726609,0.0,0.0,0.0,,331.0,278.53,603.64,1.167235,731.41,753,905.3,0.202066,95.37,85.58,77.32,-0.096518,1156970
137,513-25-01,John Deere Deburring Cell,A,Automotive,Machine Tending,2025-01-01T00:00:00.000,2025-04-14T00:00:00.000,actuals,yes,3,1,8,18,2,6,2,41.599119,101.489116,0.0,0.648,0.825,0,1,0.645,1,0.757,20,2,0.458323,1,1,1,Robotic,0,4,166,18,2,240,60,1.0,AB Compact Logix,AB OPTIXPANEL,10.0,1,Matrox GTR5000,1,6,3,159,6,32,5.2536,72.0459,12.681256,820.71,883.75,1227.89,470.12,577.51,837.65,0.450451,95.67,98.17,158.32,0.612713,218.75,283.88,331.45,0.167571,225.14,260.57,719.59,1.7616,110.87,137.03,184.28,0.344815,1210.81,1435.75,1359.4,-0.053178,85.42,97.13,221.53,1.280758,335.2,401.63,927.6,1.309588,0.0,0.0,0.0,,141.86,183.53,233.59,0.272762,251.93,265,269.35,0.015572,53.88,51.7,54.6,0.056093,321660
138,428-23-01,Nestle Full Line Automation,E,Plastics / Injection Molding,Machine Tending,2023-10-02T00:00:00.000,2023-10-10T00:00:00.000,actuals,yes,1,2,5,1,0,3,0,0.0,55.953747,0.0,0.698,0.461,1,0,0.0,1,0.424,20,2,0.748777,0,1,1,Robotic,0,3,130,8,2,211,40,0.0,,,,1,Keyence MD-X2000,1,5,1,121,7,9,3.6655,16.7861,12.514081,720.53,657.1,1089.82,323.31,393.94,744.1,0.888866,99.32,119.79,241.56,1.016529,193.76,201.06,479.06,1.382672,347.28,438.13,863.41,0.970671,108.16,96.33,224.37,1.329181,860.47,700.38,720.12,0.028185,79.46,83.77,153.73,0.835144,429.54,515.19,1093.58,1.122673,0.0,0.0,0.0,,209.78,201.28,463.09,1.300725,332.96,281,586.07,1.083656,49.27,57.81,95.38,0.649888,272140
139,448-22-03,PPG OP10 Cell,D,General Industry,Engineered Manufacturing Systems,2022-09-29T00:00:00.000,2022-12-23T00:00:00.000,actuals,yes,12,3,1,1,0,15,2,69.682864,0.0,0.0,0.22,0.822,0,0,0.0,0,0.916,20,4,0.632216,1,1,1,Robotic,0,5,381,18,2,461,60,1.5,Siemens S7-1500,AB PanelView Plus,15.0,0,,1,5,5,321,21,19,4.5005,69.6829,13.244604,1223.13,1073.15,2496.64,820.13,680.68,818.24,0.202092,158.15,175.44,429.67,1.449099,278.81,281.34,260.52,-0.074003,405.82,499.92,1149.8,1.299968,106.77,116.4,238.34,1.047595,1793.34,2109.48,3184.34,0.509538,169.46,189.95,467.21,1.459647,1140.94,928.3,2200.98,1.370979,551.46,544.64,1044.58,0.917927,474.91,488.97,1123.01,1.296685,475.32,440,1136.28,1.58357,169.12,179.16,247.58,0.381893,565010
140,423-23-03,Polaris CNC Tending,C,Pharmaceutical / Medical Device,Metal Finishing,2023-09-02T00:00:00.000,2024-02-18T00:00:00.000,actuals,yes,1,1,5,2,1,12,3,0.0,66.909777,0.0,0.306,0.798,0,0,0.0,0,0.764,0,4,0.902984,0,1,1,Robotic,0,3,166,8,2,209,40,0.0,,,,0,,1,1,2,113,4,12,2.5457,20.0729,12.536429,538.34,470.16,757.75,369.05,448.43,1012.78,1.258502,74.51,75.97,204.93,1.697512,167.73,174.77,354.57,1.028781,186.73,187.27,341.07,0.821274,83.44,96.24,151.29,0.572007,718.11,762.41,704.18,-0.076376,42.61,50.11,94.53,0.88645,514.46,421.51,1002.69,1.378805,272.3,316.88,712.8,1.249432,200.92,254.79,859.26,2.372424,207.41,223,694.96,2.115854,74.09,75.11,119.58,0.592065,278290
141,453-23-01,Stanley Black & Decker Laser Marking,,Pharmaceutical / Medical Device,End of Line Automation,2023-11-05T00:00:00.000,2024-03-10T00:00:00.000,actuals,yes,1,2,3,2,0,18,4,0.0,118.420972,0.0,0.531,0.479,1,1,0.295,1,0.768,0,2,0.499735,0,1,1,Robotic,0,4,181,8,3,90,40,1.5,,,,0,,1,1,2,141,7,12,2.9023,35.5263,13.871823,666.07,715.01,1172.15,356.27,345.4,802.83,1.324349,102.22,129.74,260.08,1.004625,234.94,305.11,666.18,1.183409,323.15,279.15,641.49,1.298012,63.18,69.59,112.58,0.617761,909.76,952.37,2647.69,1.780106,83.43,72.61,152.42,1.09916,548.55,633.42,1487.4,1.348205,0.0,0.0,0.0,,143.34,135.78,111.28,-0.180439,219.67,205,446.04,1.179739,88.73,75.05,190.76,1.541772,1057930
142,477-22-03,Abbott Kitting Cell,C,Automotive,End of Line Automation,2022-09-25T00:00:00.000,2022-12-12T00:00:00.000,actuals,yes,1,1,2,8,0,37,1,0.0,0.0,0.0,0.579,0.886,0,1,0.932,0,0.46,0,4,0.912215,0,1,1,Robotic,0,4,181,18,2,51,72,0.0,Siemens S7-1500,Siemens Comfort,10.0,0,,1,5,1,111,4,13,4.5222,0.0,13.921839,599.64,653.19,1301.13,353.58,452.45,1083.7,1.395182,58.59,75.11,166.49,1.216616,158.96,134.69,184.68,0.371149,208.38,232.15,516.26,1.223821,58.61,64.13,160.64,1.504912,693.06,601.03,1246.17,1.073391,71.31,68.74,183.94,1.67588,248.38,215.39,222.92,0.03496,0.0,0.0,0.0,,116.77,119.87,257.14,1.145157,371.44,443,1093.56,1.470317,56.65,67.32,182.5,1.710933,1112190
143,508-25-01,BorgWarner Kitting Cell,D,Food & Beverage,Machine Tending,2025-02-05T00:00:00.000,2025-02-21T00:00:00.000,actuals,yes,5,3,6,1,0,3,1,0.0,0.0,0.0,0.856,0.929,0,0,0.0,0,0.307,20,0,0.184874,0,1,1,Robotic,0,4,269,18,2,291,20,3.5,,,,2,Keyence VS-L500CX,0,2,3,221,14,16,4.2564,0.0,13.409803,844.79,795.62,1330.51,381.34,365.27,634.05,0.735839,89.21,90.81,178.73,0.968175,230.58,281.78,193.11,-0.314678,279.16,300.4,560.45,0.865679,106.56,100.33,175.1,0.745241,1053.56,872.67,895.75,0.026448,64.76,75.68,177.96,1.35148,420.57,496.21,924.27,0.862659,293.18,348.12,481.97,0.384494,136.88,171.98,296.97,0.726771,320.49,281,284.97,0.015103,63.55,60.45,84.55,0.398677,666510
144,492-22-02,PPG Machine Tending,E,General Industry,Machine Tending,2022-02-04T00:00:00.000,2022-02-15T00:00:00.000,actuals,yes,6,0,2,6,0,13,2,2.706173,44.956307,0.0,0.643,0.649,0,0,0.0,0,0.56,0,5,0.05,0,1,0,Hard Automation,0,3,151,8,2,408,60,1.0,AB Compact Logix,Keyence,10.0,1,Matrox GTR5000,0,5,6,112,6,16,3.9865,16.1931,11.907893,678.8,675.42,272.55,401.05,375.07,604.6,0.611966,108.59,129.87,302.31,1.327789,167.96,207.07,499.33,1.411407,345.41,416.8,354.5,-0.149472,89.52,111.96,148.91,0.330029,832.54,891.74,1194.01,0.338967,35.36,31.36,64.23,1.048151,428.2,475.2,831.49,0.749769,202.92,216.89,341.45,0.5743,247.57,298.11,644.22,1.161014,303.39,270,415.55,0.540615,92.14,77.01,140.92,0.829892,148430
145,444-25-02,Kohler OP20 Cell,D,Food & Beverage,Machine Tending,2025-12-24T00:00:00.000,2026-03-19T00:00:00.000,actuals,yes,6,1,2,2,1,6,3,21.72476,101.149829,0.0,0.88,0.991,0,1,0.618,0,0.829,0,6,0.965087,0,1,1,Robotic,0,4,146,8,2,267,72,1.5,,,,0,,1,1,2,214,9,14,3.356,52.0697,13.461958,863.32,978.95,1536.24,548.96,606.46,1469.96,1.423837,136.52,166.1,339.63,1.044732,179.31,166.25,452.71,1.723068,285.44,242.42,557.85,1.301172,83.42,91.81,304.68,2.318593,985.95,1256.65,2451.86,0.951108,81.73,86.61,197.22,1.277104,901.17,1034.75,2968.09,1.868413,206.62,218.26,673.26,2.08467,254.34,310.0,611.76,0.973419,424.95,494,1124.5,1.275901,110.43,97.48,294.32,2.019286,702190
146,469-23-01,Stanley Black & Decker Laser Marking,D,Automotive,End of Line Automation,2023-01-27T00:00:00.000,2023-04-20T00:00:00.000,actuals,yes,2,1,0,6,0,11,3,0.0,0.0,70.690206,0.215,0.634,0,0,0.0,0,0.476,240,3,0.363345,0,1,1,Robotic,1,4,134,8,2,300,0,1.0,Siemens S7-1500,AB PanelView Plus,12.0,0,,1,1,4,164,5,12,3.9446,14.138,13.677786,806.41,866.08,1208.56,490.9,410.53,735.99,0.79278,106.87,115.79,293.53,1.53502,194.24,193.21,340.36,0.761607,376.01,457.4,501.41,0.096218,102.54,106.8,190.07,0.779682,505.45,644.87,1038.09,0.609766,65.78,76.78,145.02,0.888773,855.85,856.66,1275.54,0.488969,0.0,0.0,0.0,,175.15,145.86,189.48,0.299054,325.33,398,840.89,1.11088,54.59,68.77,100.5,0.461393,871340
147,452-25-01,Eaton End-of-Line Packaging,A,General Industry,Machine Tending,2025-10-24T00:00:00.000,2026-03-16T00:00:00.000,actuals,yes,1,0,9,2,0,7,1,38.700748,24.768468,70.371922,0.733,0.863,0,0,0.0,1,0.205,0,2,0.965124,1,1,1,Robotic,0,2,28,15,3,122,40,1.0,AB Compact Logix,AB PanelView Plus,10.0,0,,1,1,3,99,1,13,2.1276,60.2057,12.145618,213.06,189.83,289.51,138.34,131.25,17.47,-0.866895,33.63,41.59,59.98,0.442174,71.33,68.68,75.76,0.103087,104.86,98.34,196.31,0.996238,20.84,22.61,66.7,1.950022,148.17,179.89,240.58,0.337373,25.43,30.24,59.95,0.982474,166.34,145.79,268.72,0.843199,65.24,59.78,144.02,1.409167,83.29,85.56,52.69,-0.384175,69.35,85,164.83,0.940775,14.8,15.8,21.56,0.364557,188270
148,486-22-02,BorgWarner Depalletizing System,D,General Industry,Machine Tending,2022-04-05T00:00:00.000,2022-07-03T00:00:00.000,actuals,yes,1,0,4,1,3,5,1,28.710025,6.648359,0.0,0.733,0.826,0,0,0.0,1,0.892,20,3,0.370952,0,1,1,Robotic,1,4,138,8,2,235,0,1.5,,,,0,,0,2,4,196,1,7,3.0949,30.7045,13.260308,527.17,595.21,1290.89,313.39,374.47,864.81,1.309424,65.58,72.54,79.24,0.092363,222.61,206.78,559.79,1.707177,169.66,169.78,283.88,0.672046,47.78,57.16,168.36,1.945416,281.25,318.73,586.63,0.840523,60.42,49.77,106.03,1.1304,586.79,549.19,902.18,0.642747,165.91,153.56,280.77,0.828406,146.73,120.11,194.77,0.621597,244.0,280,360.12,0.286419,38.53,32.2,51.17,0.58913,573960
149,436-22-03,Stanley Black & Decker Capping Machine,A,Precision Machining,End of Line Automation,2022-12-28T00:00:00.000,2023-06-03T00:00:00.000,actuals,yes,4,1,2,12,1,15,0,0.0,0.0,0.0,0.652,0.818,1,0,0.0,0,0.783,0,4,0.89408,0,1,1,Robotic,0,4,110,15,2,320,72,0.5,AB Compact Logix,AB PanelView Plus,12.0,0,,0,1,3,227,7,19,2.3156,0.0,12.915169,436.41,437.98,1294.33,210.65,213.0,651.24,2.057465,42.8,45.89,81.75,0.781434,119.58,120.95,200.61,0.658619,140.0,137.59,308.04,1.238825,60.92,66.95,104.68,0.563555,525.66,580.88,918.33,0.580929,30.58,24.79,45.73,0.844695,502.31,534.9,933.38,0.744962,0.0,0.0,0.0,,153.82,194.49,571.55,1.938712,182.27,170,370.68,1.177397,60.22,59.36,139.86,1.356132,406430
150,457-24-03,BorgWarner Assembly Cell,G,Chemicals / Industrial Packaging,End of Line Automation,2024-07-27T00:00:00.000,2024-08-26T00:00:00.000,actuals,yes,7,2,0,5,1,20,0,3.136354,0.0,0.0,0.462,0.736,0,0,0.0,0,0.407,240,2,0.773335,0,1,1,Robotic,0,5,289,18,2,351,20,2.0,Keyence,Siemens Comfort,12.0,0,,1,5,3,161,13,14,4.0532,3.1364,13.75216,1115.3,1023.85,2361.06,754.29,725.9,1121.15,0.544496,130.11,164.25,507.75,2.091324,310.21,258.54,363.54,0.406127,315.35,282.51,288.29,0.020459,120.57,110.06,267.36,1.42922,985.04,999.12,1935.74,0.937445,149.63,156.04,285.21,0.827801,898.13,1010.42,2636.99,1.609796,648.77,823.29,1450.99,0.762429,265.96,244.37,404.69,0.656054,388.87,469,850.62,0.814192,70.79,82.43,114.14,0.38469,938610
151,443-23-01,Mars Petcare Kitting Cell,F,Automotive,Machine Tending,2023-08-08T00:00:00.000,2023-11-26T00:00:00.000,actuals,yes,7,0,1,4,4,4,1,10.591376,17.619865,17.360975,0.784,0.742,1,0,0.0,0,0.572,15,5,0.924067,0,1,1,Robotic,0,4,241,15,2,285,40,0.5,,,,0,,1,5,7,221,7,13,4.0895,19.3495,13.366455,742.58,805.26,1327.36,369.16,304.79,550.89,0.807441,102.41,109.79,258.87,1.357865,297.13,264.26,648.24,1.453039,303.32,340.03,724.09,1.129489,72.06,66.15,159.11,1.405291,828.53,714.11,1313.25,0.839002,49.13,52.38,82.44,0.573883,649.38,535.39,1500.31,1.802275,0.0,0.0,0.0,,224.51,251.51,860.38,2.420858,314.66,398,549.32,0.380583,53.31,53.56,80.09,0.495332,638230
152,508-24-01,Illinois Tool Works Capping Machine,B,Consumer Goods (Pet Products),Engineered Manufacturing Systems,2024-06-10T00:00:00.000,2024-08-07T00:00:00.000,actuals,yes,9,1,2,4,0,2,2,0.0,52.990642,0.0,0.491,0.612,1,0,0.0,1,0.474,0,2,0.602109,0,0,1,Robotic,0,4,191,15,2,203,60,1.0,Keyence,AB OPTIXPANEL,15.0,1,Cognex Insight,1,2,6,232,12,18,3.9259,15.8972,12.794419,812.26,911.79,1479.66,549.63,474.29,640.15,0.349702,128.07,135.97,269.73,0.983746,328.79,417.13,760.03,0.822046,416.55,540.24,1420.56,1.629498,92.76,103.54,123.39,0.191713,959.65,1058.37,1203.15,0.136795,87.84,74.45,177.61,1.385628,285.48,285.43,497.75,0.74386,449.83,476.89,475.45,-0.00302,341.05,341.91,1042.76,2.049808,336.22,406,408.36,0.006755,51.61,56.69,101.28,0.786558,360200
153,441-24-01,John Deere End-of-Line Packaging,A,Electronics / Semiconductor,Machine Tending,2024-01-15T00:00:00.000,2024-04-19T00:00:00.000,actuals,yes,5,0,5,7,0,14,1,14.541339,0.0,64.200951,0.414,0.943,1,0,0.0,0,0.57,0,3,0.05,1,0,0,Semi-Automatic,0,3,146,15,2,408,72,3.0,AB Compact Logix,AB PanelView Plus,12.0,0,,1,6,3,201,5,18,5.0073,27.3815,12.606413,862.02,914.65,1411.73,572.3,511.91,557.11,0.088297,116.95,128.99,239.04,0.853167,346.49,322.05,371.69,0.154138,378.24,458.74,682.78,0.488381,120.93,111.86,208.91,0.867602,789.02,713.62,1351.52,0.893893,44.28,38.21,32.28,-0.155195,995.08,1268.79,1561.58,0.230763,0.0,0.0,0.0,,128.99,155.65,225.27,0.447286,424.12,395,633.67,0.60622,79.03,67.7,82.02,0.211521,298470
154,472-24-01,3M Assembly Cell,F,Food & Beverage,Machine Tending,2024-06-24T00:00:00.000,2024-10-21T00:00:00.000,actuals,yes,6,2,11,6,0,1,1,0.0,0.0,0.0,0.281,0.871,0,0,0.0,0,0.62,240,3,0.299265,1,1,1,Robotic,0,5,258,8,2,402,72,0.5,AB Compact Logix,AB PanelView Plus,10.0,0,,1,2,0,198,12,26,3.5745,0.0,14.487905,1144.42,990.17,1298.22,505.55,604.5,1151.54,0.904946,135.19,145.15,281.85,0.941784,291.76,297.43,291.07,-0.021383,385.75,490.33,575.2,0.173088,175.45,187.6,389.65,1.077026,781.91,805.4,1052.48,0.306779,154.57,147.84,260.61,0.762784,0.0,0.0,0.0,,0.0,0.0,0.0,,230.08,220.71,194.32,-0.119569,323.53,302,252.18,-0.164856,106.15,130.58,251.47,0.925793,1958920
155,461-23-03,BorgWarner Machine Tending,,Food & Beverage,Engineered Manufacturing Systems,2023-06-30T00:00:00.000,2023-10-01T00:00:00.000,actuals,yes,1,0,0,3,2,15,3,0.0,0.0,69.368965,0.882,0.775,1,0,0.0,0,0.408,0,3,0.689243,0,0,0,Semi-Automatic,0,3,65,18,3,223,60,3.0,AB Compact Logix,AB YW0,12.0,0,,1,2,3,111,1,7,2.9111,13.8738,13.108308,334.61,349.54,615.85,146.89,120.55,40.02,-0.668022,35.19,35.24,71.22,1.020999,68.45,71.06,140.35,0.975091,148.58,186.63,177.59,-0.048438,29.3,36.61,51.58,0.408905,422.78,515.29,1176.17,1.28254,44.17,41.89,64.48,0.53927,148.76,139.33,172.75,0.239862,186.87,163.5,250.05,0.529358,66.55,67.99,154.79,1.276658,157.49,165,367.71,1.225443,29.22,32.72,96.32,1.943765,493020
156,512-23-02,Siemens Plant Laser Marking,B,Consumer Goods (Pet Products),Engineered Manufacturing Systems,2023-08-15T00:00:00.000,2023-10-23T00:00:00.000,actuals,yes,7,2,5,1,0,0,0,93.74409,35.655444,0.0,0.215,0.964,0,0,0.0,0,0.543,0,4,0.574976,0,1,1,Robotic,0,5,206,8,2,337,72,1.0,,,,2,Matrox GTR5000,1,1,4,232,13,15,4.3738,104.4407,12.999776,1046.7,1198.82,2504.52,573.13,495.17,1190.3,1.403821,147.49,129.75,204.97,0.57973,252.91,308.21,671.67,1.179261,283.16,335.07,829.15,1.474558,113.76,96.83,124.78,0.28865,1207.4,1155.45,2022.34,0.750262,149.16,121.05,243.65,1.012805,481.37,400.68,779.88,0.946391,0.0,0.0,0.0,,341.15,273.52,554.64,1.027786,489.11,435,1240.29,1.852947,74.65,96.27,179.4,0.863509,442310
157,426-22-02,Stellantis Line B Assembly,,Automotive,Machine Tending,2022-03-04T00:00:00.000,2022-05-07T00:00:00.000,actuals,yes,4,3,5,1,1,8,1,0.0,0.0,0.0,0.701,0.805,0,0,0.0,1,0.589,0,2,0.509384,0,1,1,Robotic,0,4,287,8,3,180,20,0.0,,,,0,,0,1,3,309,13,14,2.6461,0.0,12.321612,996.5,926.55,1062.47,651.36,723.24,1955.83,1.704261,106.64,135.37,185.05,0.366994,275.52,297.99,585.33,0.964261,403.06,516.31,924.52,0.79063,152.86,189.67,423.2,1.231244,851.04,1091.87,1797.62,0.646368,120.62,147.94,293.4,0.983236,1003.15,1239.07,2559.51,1.06567,0.0,0.0,0.0,,323.44,283.98,795.34,1.80069,442.5,446,826.25,0.853576,102.6,94.6,244.48,1.584355,224500
158,514-25-03,Masco Assembly Cell,B,Heavy Equipment / Powertrain,Metal Finishing,2025-11-21T00:00:00.000,2026-04-13T00:00:00.000,actuals,yes,2,1,1,4,1,6,1,25.807431,24.540435,0.0,0.698,0.832,0,0,0.0,0,0.607,20,4,0.718326,0,1,1,Robotic,0,4,130,8,2,161,0,0.5,AB GuardLogix,Keyence,12.0,0,,1,1,6,240,5,9,2.801,33.1696,12.146599,668.22,744.35,1322.28,361.91,384.22,637.33,0.658763,65.22,77.36,152.9,0.976474,208.96,224.21,388.55,0.732974,243.01,231.62,477.61,1.062041,71.72,88.77,200.96,1.263828,948.14,776.1,645.35,-0.168471,64.51,55.55,116.85,1.10351,637.2,697.89,1441.98,1.0662,382.95,487.81,706.93,0.449191,98.88,120.89,330.88,1.737034,288.77,359,209.99,-0.414793,46.47,53.82,105.34,0.957265,188450
159,516-23-01,Nestle Vision Inspection,C,Food & Beverage,Machine Tending,2023-08-14T00:00:00.000,2023-08-30T00:00:00.000,actuals,yes,7,0,3,6,2,9,3,28.884433,0.0,47.840166,0.626,0.914,1,0,0.0,0,0.518,120,3,0.242112,0,0,0,Semi-Automatic,0,3,149,8,2,265,20,0.5,AB Compact Logix,Omron NA5,12.0,1,3D Vision,1,2,3,249,7,19,3.3796,38.4525,12.713355,1132.53,998.3,1025.27,508.69,572.18,939.39,0.641774,130.02,128.09,230.36,0.798423,253.97,243.41,348.92,0.433466,355.05,335.44,437.67,0.304764,176.29,222.4,372.64,0.67554,858.49,1006.04,1765.24,0.754642,97.6,105.92,163.23,0.541069,603.12,565.88,845.97,0.494964,0.0,0.0,0.0,,330.53,355.69,964.93,1.71284,686.02,762,1123.12,0.473891,113.31,93.01,164.92,0.773143,332150
160,491-23-03,Stellantis Robotic Weld Cell,A,Food & Beverage,End of Line Automation,2023-05-09T00:00:00.000,2023-09-06T00:00:00.000,actuals,yes,8,0,0,10,0,5,0,0.0,0.0,105.955829,0.429,0.847,0,0,0.0,0,0.438,0,1,0.296047,0,1,1,Robotic,0,3,165,9,2,192,72,1.5,AB GuardLogix,AB PanelView Plus,12.0,2,Keyence IV3,0,2,7,112,8,18,3.7702,21.1912,13.146477,612.51,602.61,671.53,381.98,404.55,805.56,0.99125,72.72,60.58,25.85,-0.573292,209.88,261.39,472.51,0.807682,280.82,361.52,634.56,0.755256,59.63,59.78,56.69,-0.05169,738.52,906.09,978.08,0.079451,36.9,42.55,41.78,-0.018096,601.73,723.22,1213.81,0.678341,171.64,192.31,237.02,0.232489,187.86,196.89,257.33,0.306973,231.28,264,335.44,0.272727,47.64,41.84,78.89,0.885516,512200
161,471-23-01,BorgWarner Robotic Weld Cell,C,Heavy Equipment / Powertrain,Machine Tending,2023-11-16T00:00:00.000,2024-01-16T00:00:00.000,actuals,yes,5,0,4,13,0,8,2,0.0,0.0,0.0,0.429,0.981,0,0,0.0,0,0.774,0,5,0.69299,0,1,1,Robotic,0,3,166,18,2,103,40,0.0,,,,0,,0,2,3,150,5,24,2.9005,0.0,12.089743,360.16,363.86,403.48,243.56,200.19,291.75,0.457366,37.96,44.84,86.42,0.927297,128.52,165.0,362.71,1.198242,112.9,106.93,288.64,1.699336,46.57,52.24,89.86,0.720138,376.62,406.47,1050.8,1.585185,33.24,27.33,79.91,1.923893,337.68,280.78,741.17,1.639682,202.08,237.02,545.18,1.300143,84.32,76.68,162.87,1.124022,177.03,154,425.72,1.755648,39.79,40.47,72.7,0.796392,178040
162,490-24-01,Harley-Davidson Kitting Cell,C,Consumer Goods (Pet Products),Machine Tending,2024-05-30T00:00:00.000,2024-07-30T00:00:00.000,actuals,yes,7,0,0,3,2,24,1,0.0,0.0,0.0,0.647,0.579,0,0,0.0,0,0.798,0,3,0.973121,0,1,1,Robotic,0,5,186,8,3,296,60,0.0,,,,0,,1,2,2,169,7,11,3.3193,0.0,13.112508,940.82,1054.88,1823.46,551.23,632.64,1171.17,0.851242,121.01,156.99,476.68,2.036372,320.67,368.85,983.18,1.665528,303.05,339.13,739.65,1.181022,143.67,145.19,407.5,1.806667,1173.69,1001.36,2587.74,1.584225,128.49,106.93,208.23,0.947349,760.52,609.62,1442.55,1.36631,384.45,341.87,686.12,1.006962,215.37,216.59,547.05,1.52574,326.25,277,731.3,1.644751,59.65,62.53,128.95,1.06221,495100
163,478-25-02,Honeywell Assembly Cell,B,Automotive,Machine Tending,2025-04-10T00:00:00.000,2025-06-22T00:00:00.000,actuals,yes,4,0,0,6,1,3,3,34.219033,37.005358,141.300449,0.583,0.685,0,0,0.0,0,0.459,0,1,0.645612,0,1,1,Robotic,0,3,85,9,3,262,60,0.5,AB Compact Logix,AB PanelView Plus,15.0,2,Keyence VS-L500CX,1,1,5,95,4,13,3.6766,73.5807,12.881956,350.22,349.22,916.31,173.93,174.79,226.86,0.2979,56.01,49.65,79.02,0.591541,82.75,68.05,174.81,1.568846,107.38,88.15,151.02,0.713216,36.26,33.06,49.51,0.49758,285.56,341.04,653.62,0.916549,25.1,27.83,56.5,1.030183,384.67,449.3,716.59,0.594903,136.31,146.98,248.75,0.692407,55.69,56.12,62.49,0.113507,106.1,103,171.65,0.667152,38.88,45.7,110.28,1.413129,393150
164,476-22-01,Nestle OP55 Cell,D,Heavy Equipment / Powertrain,Machine Tending,2022-04-07T00:00:00.000,2022-06-23T00:00:00.000,actuals,yes,2,2,2,1,3,3,2,18.199423,0.0,98.26334,0.931,0.609,0,0,0.0,0,0.772,0,5,0.668686,1,1,1,Robotic,0,5,201,8,2,171,0,1.0,AB Compact Logix,AB YW0,12.0,0,,1,2,2,227,8,9,3.1911,37.8521,13.433078,864.87,876.66,1154.92,584.12,536.46,694.28,0.294188,96.03,99.86,235.27,1.355998,368.3,455.13,542.24,0.191396,443.22,422.61,993.4,1.350631,108.74,98.1,196.79,1.006014,1008.59,1011.46,3007.5,1.973425,87.88,70.36,164.52,1.33826,824.5,730.73,2141.82,1.931069,0.0,0.0,0.0,,290.04,319.74,851.48,1.663039,372.78,413,925.41,1.238805,103.98,98.93,246.87,1.495401,682200
